id,category,description,carbohydrate,kilocalories,protein,fat,fiber,sugar,carb_percentage,protein_percentage,fat_percentage,generic_category,sugar_penalty,fiber_bonus,nutritional_score
1012,CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",3.4,98,11.1,4.3,0.0,2.670000076,14.064115822130304,45.915201654601866,40.02068252326784,dairy,6.67500019,0.0,73.9493754038273
1013,CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",4.6,97,10.7,3.9,0.200000003,2.380000114,19.10695742471443,44.44444444444444,36.44859813084113,dairy,5.950000285,0.800000012,74.1805939516087
1014,CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",6.7,72,10.3,0.3,0.0,1.850000024,37.9066478076379,58.27439886845828,3.8189533239038185,dairy,4.6250000600000005,0.0,76.97549905109024
1015,CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.7,86,11.8,2.5,0.0,3.670000076,17.514792899408285,55.857988165680474,26.627218934911244,dairy,9.17500019,0.0,75.29612211145225
1016,CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.7,72,12.4,1.0,0.0,2.720000029,15.561959654178676,71.46974063400576,12.96829971181556,dairy,6.8000000725,0.0,77.47444436544113
1037,CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",5.1,138,11.4,7.9,0.0,0.310000002,14.879649890590809,33.260393873085334,51.859956236323846,dairy,0.775000005,0.0,70.93136473964948
1077,MILK,"MILK,WHL,3.25% MILKFAT",4.5,60,3.2,3.2,0.0,5.260000229,30.201342281879196,21.476510067114095,48.32214765100672,dairy,13.1500005725,0.0,72.40386180078414
1078,MILK,"MILK,PRODUCER,FLUID,3.7% MILKFAT",4.7,64,3.3,3.7,0.0,0.0,28.790199081163852,20.214395099540575,50.99540581929555,dairy,0.0,0.0,74.14002933603709
1079,MILK,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",4.7,50,3.3,2.0,0.0,5.059999943,37.6,26.4,36.0,dairy,12.649999857500001,0.0,73.63702757679299
1080,MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",5.0,51,3.5,1.9,0.0,0.0,39.13894324853229,27.39726027397261,33.46379647749511,dairy,0.0,0.0,75.73016400287136
1081,MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",5.5,56,4.0,2.0,0.0,5.260000229,39.285714285714285,28.57142857142857,32.142857142857146,dairy,13.1500005725,0.0,73.40986536551603
1082,MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",5.0,42,3.4,1.0,0.0,5.199999809,46.948356807511736,31.92488262910798,21.12676056338028,dairy,12.999999522500001,0.0,74.52133721627686
1083,MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",5.0,43,3.5,1.0,0.0,0.0,46.51162790697674,32.55813953488372,20.930232558139537,dairy,0.0,0.0,76.5982477240513
1084,MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",5.5,48,3.9,1.2,0.0,0.0,45.45454545454546,32.231404958677686,22.314049586776857,dairy,0.0,0.0,76.33863390089468
1085,MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",5.0,34,3.4,0.1,0.0,5.090000153,57.971014492753625,39.42028985507246,2.608695652173913,dairy,12.7250003825,0.0,75.43404192376941
1086,MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.0,37,3.6,0.2,0.0,5.019999981,55.24861878453039,39.77900552486188,4.972375690607735,dairy,12.549999952499999,0.0,75.29206568400186
1087,MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",5.6,41,4.0,0.2,0.0,0.0,55.72139303482587,39.800995024875625,4.477611940298508,dairy,0.0,0.0,77.19860469010098
1088,MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.8,40,3.3,0.9,0.0,4.789999962,47.407407407407405,32.59259259259259,20.0,dairy,11.974999904999999,0.0,74.8255721032246
1089,MILK,"MILK,LOW SODIUM,FLUID",4.5,61,3.1,3.5,0.0,4.460000038,29.079159935379646,20.032310177705977,50.88852988691438,dairy,11.150000095000001,0.0,72.5255558578673
1097,MILK,"MILK,CND,EVAP,NONFAT",11.3,78,7.5,0.2,0.0,11.35000038,58.70129870129871,38.961038961038966,2.3376623376623376,dairy,28.37500095,0.0,71.29644652512906
1103,MILK,"MILK,CHOC,FLUID,COMM,RED FAT",12.1,76,3.0,1.9,0.699999988,9.550000191,62.45161290322581,15.483870967741936,22.064516129032256,dairy,23.875000477500002,2.799999952,70.03894213809299
1104,MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",10.4,63,3.2,1.0,0.5,9.93999958,65.61514195583595,20.18927444794953,14.195583596214508,dairy,24.84999895,2.0,71.12201881221299
1105,MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",10.6,77,3.5,2.3,1.0,9.670000076,54.99351491569391,18.158236057068745,26.848249027237355,dairy,24.175000190000002,4.0,70.24987842384552
1106,MILK,"MILK,GOAT,FLUID",4.5,69,3.6,4.1,0.0,4.449999809,25.974025974025977,20.77922077922078,53.24675324675325,dairy,11.124999522500001,0.0,71.97793304253938
1108,MILK,"MILK,INDIAN BUFFALO,FLUID",5.2,97,3.8,6.9,0.0,0.0,21.20285423037717,15.494393476044852,63.30275229357799,dairy,0.0,0.0,70.92730827447394
1109,MILK,"MILK,SHEEP,FLUID",5.4,108,6.0,7.0,0.0,0.0,19.88950276243094,22.099447513812155,58.01104972375691,dairy,0.0,0.0,71.0814539819732
1112,WHEY,"WHEY,ACID,FLUID",5.1,24,0.8,0.1,0.0,5.119999886,83.26530612244899,13.061224489795922,3.6734693877551026,dairy,12.799999714999998,0.0,74.9675484435925
1114,WHEY,"WHEY,SWEET,FLUID",5.1,27,0.8,0.4,0.0,5.139999866,75.0,11.764705882352942,13.23529411764706,dairy,12.849999665,0.0,74.64303117275968
1116,YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.7,61,3.5,3.2,0.0,4.659999847,30.519480519480524,22.72727272727273,46.75324675324675,dairy,11.6499996175,0.0,72.71215337073961
1117,YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.0,63,5.2,1.6,0.0,7.039999962,44.30379746835443,32.911392405063296,22.78481012658228,dairy,17.599999904999997,0.0,72.80139557580034
1118,YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.7,56,5.7,0.2,0.0,7.679999828,55.5956678700361,41.15523465703971,3.249097472924188,dairy,19.19999957,0.0,73.69381814725786
1122,YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",18.6,105,4.9,1.4,0.0,0.0,69.79362101313322,18.386491557223263,11.819887429643527,dairy,0.0,0.0,72.15236100249425
1123,EGG,"EGG,WHOLE,RAW,FRESH",0.8,143,12.6,9.9,0.0,0.769999981,2.242466713384723,35.318850735809384,62.43868255080588,eggs,1.9249999525,0.0,70.43647589777575
1124,EGG,"EGG,WHITE,RAW,FRESH",0.7,48,10.9,0.2,0.0,0.709999979,5.809128630705394,90.45643153526972,3.7344398340248968,eggs,1.7749999475,0.0,79.70144421248881
1131,EGG,"EGG,WHL,CKD,POACHED",0.8,142,12.5,9.9,0.0,0.769999981,2.2487702037947996,35.13703443429374,62.61419536191145,eggs,1.9249999525,0.0,70.46892762567033
1135,EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.2,351,76.9,0.0,0.0,4.170000076,5.178791615289765,94.82120838471025,0.0,eggs,10.42500019,0.0,85.89161126903169
1143,EGG,"EGG SUBSTITUTE,LIQUID",0.6,84,12.0,3.3,0.0,0.639999986,2.9962546816479403,59.925093632958806,37.07865168539326,eggs,1.5999999649999999,0.0,76.5901347977567
1151,MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",4.8,35,3.4,0.2,0.0,5.090000153,55.491329479768794,39.306358381502896,5.202312138728325,dairy,12.7250003825,0.0,75.32857380811204
1168,CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",1.9,173,24.4,7.0,0.0,0.519999981,4.5184304399524375,58.026159334126035,37.455410225921526,dairy,1.2999999525,0.0,74.55378887440023
1172,EGG,"EGG,WHITE,RAW,FROZEN",1.1,47,9.8,0.0,0.0,0.0,10.091743119266056,89.90825688073394,0.0,eggs,0.0,0.0,79.58380669035239
