id,category,description,carbohydrate,kilocalories,protein,fat,fiber,sugar,carb_percentage,protein_percentage,fat_percentage,generic_category,nutritional_score
9001,ACEROLA,"ACEROLA,(WEST INDIAN CHERRY),RAW",7.7,32,0.4,0.3,1.100000024,0.0,87.74928774928775,4.558404558404559,7.692307692307692,fruits,76.8659744947584
9002,ACEROLA JUICE,"ACEROLA JUICE,RAW",4.8,23,0.4,0.3,0.300000012,4.5,81.70212765957446,6.808510638297872,11.489361702127658,fruits,75.25150102421478
12058,ACORNS,"ACORNS,RAW",40.8,387,6.2,23.9,0.0,0.0,40.48623170429174,6.152319523691392,53.361448772016864,nutsAndSeeds,44.43047244855174
12059,ACORNS,"ACORNS,DRIED",53.7,509,8.1,31.4,0.0,0.0,40.54360135900341,6.115515288788222,53.34088335220838,nutsAndSeeds,33.632159991631205
11001,ALFALFA SEEDS,"ALFALFA SEEDS,SPROUTED,RAW",2.1,23,4.0,0.7,1.899999976,0.180000007,27.36156351791531,52.11726384364821,20.52117263843648,vegetables,79.69738771956706
12206,ALMONDS,"ALMONDS,HONEY RSTD,UNBLANCHED",27.9,594,18.2,49.9,13.69999981,0.0,17.61641673243883,11.49171270718232,70.89187056037885,nutsAndSeeds,36.04170066448699
12062,ALMONDS,"ALMONDS,BLANCHED",19.9,581,21.9,50.6,10.39999962,4.960000038,12.785094763893348,14.070028911018309,73.14487632508833,nutsAndSeeds,34.57325983852623
12063,ALMONDS,"ALMONDS,DRY RSTD,WO/SALT",19.3,597,22.1,52.8,11.80000019,4.900000095,12.047440699126094,13.795255930087396,74.15730337078652,nutsAndSeeds,33.770079919963294
9016,APPLE JUC,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",11.3,46,0.1,0.1,0.200000003,9.619999886,97.20430107526884,0.8602150537634409,1.935483870967742,fruits,71.14635748595317
9018,APPLE JUC,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",11.5,47,0.1,0.1,0.100000001,10.93000031,97.25158562367864,0.8456659619450317,1.9027484143763207,fruits,70.46892749286165
9017,APPLE JUC,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",41.0,166,0.5,0.4,0.400000006,38.83000183,96.69811320754718,1.179245283018868,2.1226415094339623,fruits,49.81340207462566
9015,APPLES,"APPLES,FRZ,UNSWTND,HTD",12.0,47,0.3,0.3,1.899999976,0.0,92.48554913294797,2.312138728323699,5.202312138728322,fruits,76.11958472202946
9014,APPLES,"APPLES,FRZ,UNSWTND,UNHTD",12.3,48,0.3,0.3,1.899999976,0.0,92.6553672316384,2.259887005649717,5.084745762711863,fruits,76.03845540229302
9010,APPLES,"APPLES,DEHYD (LO MOIST),SULFURED,STWD",19.9,74,0.3,0.1,2.599999905,0.0,97.42962056303548,1.4687882496940023,1.1015911872705018,fruits,74.43209482543
9013,APPLES,"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",20.7,83,0.2,0.1,1.899999976,0.0,97.98816568047336,0.9467455621301776,1.0650887573964496,fruits,73.19892921151752
9003,APPLES,"APPLES,RAW,WITH SKIN",13.8,52,0.3,0.2,2.400000095,10.39000034,94.84536082474226,2.061855670103093,3.092783505154639,fruits,71.84812597722103
9402,APPLESAUCE,"APPLESAUCE,CND,SWTND,W/SALT",19.9,76,0.2,0.2,1.200000048,0.0,96.83698296836984,0.9732360097323602,2.1897810218978107,fruits,73.2881715099581
9019,APPLESAUCE,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",11.3,42,0.2,0.1,1.100000024,9.390000343,96.37526652452028,1.705756929637527,1.9189765458422177,fruits,72.19698200478933
9020,APPLESAUCE,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",17.5,68,0.2,0.2,1.200000048,14.67000008,96.41873278236916,1.1019283746556476,2.4793388429752072,fruits,67.98637043272984
9036,APRICOT NECTAR,"APRICOT NECTAR,CND,WO/ VIT C",14.4,56,0.4,0.1,0.600000024,13.78999996,95.84026622296172,2.6622296173044924,1.497504159733777,fruits,69.04916455437801
9023,APRICOTS,"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",5.5,22,0.7,0.0,1.100000024,0.0,88.70967741935483,11.29032258064516,0.0,fruits,77.89631685541121
9025,APRICOTS,"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",12.5,49,0.6,0.1,1.600000024,0.0,93.80863039399624,4.50281425891182,1.6885553470919326,fruits,75.95732611371024
9022,APRICOTS,"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",6.4,27,0.7,0.2,1.600000024,4.789999962,84.76821192052981,9.271523178807946,5.960264900662252,fruits,75.82346275155967
9028,APRICOTS,"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",21.4,83,0.5,0.1,1.600000024,0.0,96.7231638418079,2.2598870056497176,1.016949152542373,fruits,73.15025165082932
9021,APRICOTS,"APRICOTS,RAW",11.1,48,1.4,0.4,2.0,9.239999771,82.83582089552239,10.44776119402985,6.7164179104477615,fruits,72.86629910906801
9039,AVOCADOS,"AVOCADOS,RAW,FLORIDA",7.8,120,2.2,10.1,5.599999905,2.420000076,23.834988540870896,6.722689075630253,69.44232238349886,fruits,70.15657964449032
9037,AVOCADOS,"AVOCADOS,RAW,ALL COMM VAR",8.5,160,2.0,14.7,6.699999809,0.660000026,19.506597819850835,4.589787722317843,75.90361445783132,fruits,67.12234304432238
9038,AVOCADOS,"AVOCADOS,RAW,CALIFORNIA",8.6,167,2.0,15.4,6.800000191,0.300000012,19.00552486187845,4.41988950276243,76.57458563535911,fruits,66.59500271964575
