original_category,category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,nutritional_score
CHEESE FD,CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",8.3,19.7,24.5,331,approvato,dairy,14.759897378239144
CHEESE FD,CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.3,19.6,24.6,328,approvato,dairy,13.819210915108371
CHEESE FD,CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.8,18.4,25.2,330,approvato,dairy,13.302921252263207
CHEESE FD,CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",4.5,21.9,24.1,323,approvato,dairy,13.102841727559497
CREAM SUB,CREAM SUB,"CREAM SUB,PDR,LT",73.4,1.9,15.7,431,rifiutato,dairy,59.3717153788175
CREAM SUB,CREAM SUB,"CREAM SUB,FLAV,POWDERED",75.4,0.0,21.5,495,approvato,dairy,57.69525246688052
CREAM SUB,CREAM SUB,"CREAM SUB,FLAV,LIQ",35.1,0.7,13.5,251,approvato,dairy,27.680277558205347
CREAM SUB,CREAM SUB,"CREAM SUB,LIQ,LT",9.1,0.8,3.5,71,approvato,dairy,8.310512681186847
TURKEY,TURKEY,"TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,CKD,RSTD",0.0,30.1,0.7,135,approvato,poultry,20.64942055573991
TURKEY,TURKEY,"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,CKD,RSTD",0.0,30.2,1.2,140,approvato,poultry,20.57955671023869
TURKEY,TURKEY,"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,CKD,RSTD",0.0,30.9,3.4,163,approvato,poultry,20.447029971571663
TURKEY,TURKEY,"TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,CKD,RSTD",0.0,29.9,2.9,154,approvato,poultry,19.93673557511923
TURKEY,TURKEY,"TURKEY,ALL CLASSES,LT MEAT,CKD,RSTD",0.0,29.9,3.2,157,approvato,poultry,19.843672203161507
QUAIL,QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",0.0,22.6,3.0,123,approvato,poultry,15.179206741075811
QUAIL,QUAIL,"QUAIL,MEAT ONLY,RAW",0.0,21.8,4.5,134,approvato,poultry,14.218973413761876
QUAIL,QUAIL,"QUAIL,COOKED,TOTAL EDIBLE",0.0,25.1,14.1,234,approvato,poultry,13.866906339348098
QUAIL,QUAIL,"QUAIL,MEAT AND SKIN,RAW",0.0,19.6,12.1,192,approvato,poultry,10.827628728965417
POULTRY,POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW",0.0,13.8,15.5,199,rifiutato,poultry,6.091257259935325
POULTRY,POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",0.0,14.7,20.0,243,rifiutato,poultry,5.509237082399679
POULTRY,POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW",0.0,11.4,24.7,272,approvato,poultry,2.0798454744830224
TURKEY THIGH,TURKEY THIGH,"TURKEY THIGH,PRE-BASTED,MEAT&SKN,CKD,RSTD",0.0,18.8,8.5,157,approvato,poultry,11.215700565056215
GUINEA HEN,GUINEA HEN,"GUINEA HEN,MEAT&SKN,RAW",0.0,23.4,6.5,158,rifiutato,poultry,14.775401596995614
GUINEA HEN,GUINEA HEN,"GUINEA HEN,MEAT ONLY,RAW",0.0,20.6,2.5,110,rifiutato,poultry,14.003512328241412
QUAIL,QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",0.0,22.6,3.0,123,approvato,poultry,15.179206741075811
BEEF,BEEF,"BEEF,RND,TOP RND,LN,0""FAT,SEL,CKD,BRSD",0.0,36.1,4.0,190,approvato,meats,23.7116324264474
BEEF,BEEF,"BEEF,CURED,DRIED",2.8,31.1,1.9,153,approvato,meats,23.68109383967013
BEEF,BEEF,"BEEF,RND,TOP RND,LN,0""FAT,ALL GRDS,CKD,BRSD",0.0,36.1,5.0,199,approvato,meats,23.44817561856363
BEEF,BEEF,"BEEF,CURED,THIN-SLICED BF",5.7,28.1,3.8,176,approvato,meats,23.280601271778632
BEEF,BEEF,"BEEF,RND,TOP RND,LN,0""FAT,CHOIC,CKD,BRSD",0.0,36.1,5.8,207,approvato,meats,23.200006626676373
BEEF SAUSAGE,BEEF SAUSAGE,"BEEF SAUSAGE,FRSH,CKD",0.3,18.2,28.0,332,approvato,meats,5.8936517685258565
BEEF SAUSAGE,BEEF SAUSAGE,"BEEF SAUSAGE,PRE-COOKED",0.0,15.5,37.6,405,approvato,meats,1.3860155039608593
